app,runtime,runtime_norm,threads,throughput,throughput_norm,version
bilateral_grid,139.683,1.0,cpu,7.15906731671,1.0,naive
local_laplacian,855.408,1.27622358321,cpu,1.16903278903,0.78356176234,naive
conv_layer,1482.09,4.15647242929,cpu,0.674722857586,0.240588628221,naive
mat_mul,14245.1,7.53115268915,cpu,0.0701995773985,0.132781798654,naive
vgg,154910.04,4.02344929328,cpu,0.00645535951059,0.248542960805,naive
lens_blur,2755.44,2.18657948197,cpu,0.362918444967,0.45733530761,naive
interpolate,233.286,2.12083965926,cpu,4.28658384987,0.471511363734,naive
hist,100.635,1.17629938213,cpu,9.93690068068,0.850123714413,naive
harris,121.795,2.77102183919,cpu,8.21051767314,0.360877704339,naive
max_filter,1283.99,2.14544707188,cpu,0.778822264971,0.466103318562,naive
blur,54.565,3.01624065803,cpu,18.3267662421,0.331538532026,naive
unsharp,66.2006,1.51276584562,cpu,15.1056032725,0.661040836488,naive
non_local_means,138.226,2.77910474168,cpu,7.23452895982,0.359828107592,naive
camera_pipe,128.774,4.8007545566,cpu,7.76554273378,0.208300588628,naive
bilateral_grid,145.124,1.03895248527,cpu,6.89065902263,0.962507924258,auto
local_laplacian,670.265,1.0,cpu,1.49194721491,1.0,auto
conv_layer,356.574,1.0,cpu,2.80446695497,1.0,auto
mat_mul,1891.49,1.0,cpu,0.528683736102,1.0,auto
vgg,38501.8,1.0,cpu,0.0259728116608,1.0,auto
lens_blur,1867.09,1.48162931691,cpu,0.535592820914,0.674932649203,auto
interpolate,109.997,1.0,cpu,9.09115703156,1.0,auto
hist,86.1594,1.00709742122,cpu,11.6063946592,0.992952597163,auto
harris,43.9531,1.0,cpu,22.7515237833,1.0,auto
max_filter,716.271,1.19683293454,cpu,1.39611962511,0.835538504281,auto
blur,21.5137,1.18923296334,cpu,46.4820091384,0.840878138117,auto
unsharp,43.7613,1.0,cpu,22.8512407081,1.0,auto
non_local_means,49.7376,1.0,cpu,20.1055137361,1.0,auto
camera_pipe,30.9577,1.15411744092,cpu,32.3021413089,0.866462947829,auto
bilateral_grid,173.49,1.24202658878,cpu,5.76402098104,0.805135742694,ref
local_laplacian,734.31,1.09555175938,cpu,1.36182266345,0.912782067519,ref
conv_layer,395.292,1.10858335156,cpu,2.52977545713,0.902052153851,ref
mat_mul,5809.95,3.07162607257,cpu,0.172118520813,0.325560460933,ref
vgg,43007.8,1.11703348934,cpu,0.0232515962221,0.895228307423,ref
lens_blur,1260.16,1.0,cpu,0.793550025394,1.0,ref
interpolate,114.554,1.04142840259,cpu,8.72950748119,0.960219634408,ref
hist,85.5522,1.0,cpu,11.688770131,1.0,ref
harris,51.064,1.16178381047,cpu,19.5832680558,0.860745339182,ref
max_filter,598.472,1.0,cpu,1.67092194789,1.0,ref
blur,18.0904,1.0,cpu,55.2779374696,1.0,ref
unsharp,57.8467,1.32186886587,cpu,17.2870708269,0.756504692575,ref
non_local_means,51.4028,1.03347970147,cpu,19.4541931568,0.967604877555,ref
camera_pipe,26.8237,1.0,cpu,37.2804646637,1.0,ref
bilateral_grid,2.77499,1.3698175051,gpu,360.361658961,0.73002425234,naive
local_laplacian,37.0392,3.87818630146,gpu,26.9984232921,0.257852491415,naive
conv_layer,47.298,1.32126176056,gpu,21.1425430251,0.756852298194,naive
mat_mul,160.775,7.92764406838,gpu,6.21987249261,0.126140880112,naive
vgg,4986.9,1.32743645506,gpu,0.200525376486,0.75333172913,naive
lens_blur,83.3228,2.61293377571,gpu,12.0015169917,0.382711574743,naive
interpolate,19.2481,1.35167343155,gpu,51.9531797944,0.739823670908,naive
hist,6.4072,1.27990411506,gpu,156.074416282,0.781308527906,naive
harris,5.8971,5.37272230321,gpu,169.574875786,0.186125383663,naive
max_filter,67.3182,1.57812045798,gpu,14.8548238069,0.633665190097,naive
blur,3.26562,1.65200631336,gpu,306.220564548,0.605324563176,naive
